,title,director,genre,release_date,company,star_1,star_2,star_3
0,Anna,Emeka Madu,Drama,2018,Touch Of Sas Concept,Anthony Aniekwe,Jibola Dabo,Chelsea Eze
1,Last Offence,Nonso Emekaekwue,Drama,2006,Simony Productions,Rita Dominic,Mike Ezuruonye,Oge Okoye
2,Good News 2,Reginald Ebere,Drama,2005,Cobic Productions,Fabian Adibe,Nonso Diobi,Emeka Enyiocha
3,The Web,Michael Chineme Ike,Short,2020,MIC Productions,Gabriel Okechukwu Odoh,Ben Okoye,Slimstar
4,Blames of Memories,Victor Emeghara,Drama,2005,Iyke-Mec Films,Peter Bunor,Emeka Enyiocha,Ngozi Ezeonu
5,Western Union,Prince Emeka Ani,Drama,2007,Uche 10 Nigeria,Moses Armstrong,Monalisa Chinda,Benedict Johnson
6,Tiger King,Stan K. Amandi,Drama,2008,Immortal Films,Fabian Adibe,Nonso Diobi,Pete Edochie
7,Sharon's Call,Okey Ifeanyi,Drama,2020,"Rok Studios,Supa Pictures Media",Toosweet Annan,Roxy Antak,Uzor Arukwe
8,Trilateral,Akin-Tijani Balogun,Drama,2022,"Mazinni Pictures,Rok Studios",Uche Nwaefuna,Matilda Obaseki,Chiazo Ogbu
9,Virgins Night Out 2,Tarila Thompson,Drama,2004,Goldmark International,Jim Iyke,Stephanie Linus,
10,Arewa ejo,Taofeeq Abisogun,Drama,2009,Jewitura Movies,Lizzy Anjorin,Gloria Iwuenon,Damola Olatunji
11,We Are One 2,John Uche,Drama,2004,Jem Productions,Stella Damasus,Justus Esiri,Jim Iyke
12,Unforseen,Emmanuel Akaemeh,Drama,2016,Riyabel Production Service,Ehi Achanya,Angela Eguavoen,Omolara Idris
13,Koi Koi - The Myth,Adekunle Lawal McDouglas,Horror,2022,Blackbishop Production,Lauretta Agbonifo,Faith Aimo,Yvonne Eddie
14,Blood Battle 2,Ebere Onwu,Action,2005,Lion Base International,Nonso Diobi,Justus Esiri,Ngozi Ezeonu
15,Blood Stain in Bokodo 2,Moses Eskor,Drama,2006,Samlex Electronics Company,Desmond Elliot,Justus Esiri,Chinelo Ndigwe
16,Akan,Desmond Elliot,Drama,2014,"Denziot Pictures,Goldwire Productions",David Uzoma Aboy,Gloria Aju,Venita Akpofure
17,Because of Love,Ben Emeh,Drama,2003,Eagle Movies,Mary Ann Apollo,Nnamdi Igweonu,Emeka Ike
18,Too Much,Daniel Ademinokan,Drama,2010,Denziot Studios Production,Seun Akindele,Nonso Diobi,Ngozi Ezeonu
19,Koroba koroba,Yemi Adegunju,Drama,2003,Wastayo Films,Gbolagbade Akinpelu,Makin Amusan,Tunde Bamgbode
20,Lost Wealth 2,Afam Okereke,Drama,2006,Samlex Electronics Company,Chiwetalu Agu,Emeka Enyiocha,Cynthia Okereke
21,Ticket to Life,Geshin Salvador,Drama,2022,Meroestream,Kubra Emokpaire,Tina Mba,Sambasa Nzeribe
22,Extra Time 2,Ifeanyi Ikpoenyi,Drama,2005,Kensimon Production,Eucharia Anunobi Ekwu,Segun Arinze,Enebeli Elebuwa
23,Out of My League,Sobe Charles Umeh,Romance,2020,Rok Studios,Bimbo Ademoye,Scarlet Gomez,Ben-Shalom Joshua
24,The Golden Fish,Emeka Obiakonwa,Drama,2006,Dozac Global Maxima Investment,Monalisa Chinda,Geraldine Ekeocha,Vitalis Ndubuisi
25,No Limitation 2,"Kalu Anya,Chris Oge-Kalu",Drama,2004,I.G. Best Industries,Rita Edochie,Sam Loco Efe,Clem Ohameze
26,I Need a Husband,Charles Inojie,Comedy,2007,Louis Merchandise,Ada Ameh,Okey Bakasi,Charles Inojie
27,The Corridors of Power 2,MacCollins Chidebe,Action,2005,Ossy Affason Production,Enebeli Elebuwa,Justus Esiri,Kanayo O. Kanayo
28,Tsalle Daya,Ali Gumzak,Drama,2019,Dan Hajiya Films,Jamila Nagudu,Ali Nuhu,Teema Yola
29,World of a Prince,Chika Onu,Drama,2005,Okwytex Ventures Ltd.,Nonso Diobi,Sam Loco Efe,Benita Nzeribe
30,Last Confession,Sunday Nnajiude,Comedy,2005,Edumaco Movies International,Fabian Adibe,Chiwetalu Agu,Enebeli Elebuwa
31,The Revelation 2,Chike Bryan,Short,2007,Great Favour Production,Fred Aresoma,Omotola Jalade-Ekeinde,Robert Keith
32,A Night in the Philippines,Zeb Ejiro,Drama,2006,"Angel Light Entertainment,Movieland Network Ltd.,Zeb Ejiro Productions",Marie Eboka,Desmond Elliot,Ibinabo Fiberesima
33,Love Gone Mad,Jerry Isichei,Drama,2022,African Movie Channel,Gift Obasi,Bukky Ogunnote,Sandra Okunzuwa
34,Take Me Home 2,Emeka Jonathan,Drama,2007,Akagod Investments,Chiege Alisigwe,Desmond Elliot,Prince Jeff Ezeanyika
35,Test Your Heart,Emeka Jonathan,Drama,2008,Bonag Industries Nigeria,Edith Dibie,Pete Edochie,Emeka Ike
36,Playing Safe,Elvis Chuks,Drama,2013,Diamond Groove pictures,Ini Edo,Ik Ogbonna,Tonto Charity Dikeh
37,Old Testament,Nonso Emekaekwue,Drama,2007,"Be Good Ventures,Mac Modesty International",Uche Elendu,Olu Jacobs,Mac Maurice Ndubueze
38,Baby Girl 2,Tarila Thompson,Drama,2005,Elonel International Ltd.,Pete Edochie,Enebeli Elebuwa,Richard Mofe-Damijo
