,title,director,stars,genre,release_date,company
17,Anna,"{""Emeka Madu""}","{""Anthony Aniekwe"",""Jibola Dabo"",""Chelsea Eze"",""Suzan Jumbo Ezenwoye"",""Kemigisha Harriet"",""Frank John"",""Uzoechi Victoria Nancy"",""David Odunayo"",""Juliet Okoroafor"",""Ifeoluwa Olatunde"",""Kunle Remi"",""Angel Samuda"",""Juliet Uboh"",""Nkese Valentine"",""Attah Victor""}",{Drama},2018-02-01,"{""Touch Of Sas Concept""}"
20,Last Offence,"{""Nonso Emekaekwue""}","{""Rita Dominic"",""Mike Ezuruonye"",""Oge Okoye""}",{Drama},2006-09-01,"{""Simony Productions""}"
21,Good News 2,"{""Reginald Ebere""}","{""Fabian Adibe"",""Nonso Diobi"",""Emeka Enyiocha"",""Ebube Nwagbo"",""Susan Obi"",""Patience Ozokwor""}",{Drama},2005-03-01,"{""Cobic Productions""}"
22,The Web,"{""Michael Chineme Ike""}","{""Gabriel Okechukwu Odoh"",""Ben Okoye"",Slimstar}","{Short,Drama,Thriller}",2020-10-01,"{""MIC Productions""}"
25,Blames of Memories,"{""Victor Emeghara""}","{""Peter Bunor"",""Emeka Enyiocha"",""Ngozi Ezeonu"",""Mike Ezuruonye""}",{Drama},2005-02-01,"{""Iyke-Mec Films""}"
26,Western Union,"{""Prince Emeka Ani""}","{""Moses Armstrong"",""Monalisa Chinda"",""Benedict Johnson"",""Jim Lawson""}",{Drama},2007-12-01,"{""Uche 10 Nigeria""}"
27,Tiger King,"{""Stan K. Amandi""}","{""Fabian Adibe"",""Nonso Diobi"",""Pete Edochie"",""Mercy Johnson Okojie"",""Chinwe Owoh""}",{Drama},2008-01-01,"{""Immortal Films""}"
28,Sharon's Call,"{""Okey Ifeanyi""}","{""Toosweet Annan"",""Roxy Antak"",""Uzor Arukwe"",""Josephine Emeka"",""Marilyn Etuk"",""Susan Jimah Odiachi"",""Bolaji Ogunmola"",""Gloria Okafor""}",{Drama},2020-09-01,"{""Rok Studios"",""Supa Pictures Media""}"
30,Trilateral,"{""Akin-Tijani Balogun""}","{""Uche Nwaefuna"",""Matilda Obaseki"",""Chiazo Ogbu"",""Onyinye Okereke""}",{Drama},2022-02-01,"{""Mazinni Pictures"",""Rok Studios""}"
31,Virgins Night Out 2,"{""Tarila Thompson""}","{""Jim Iyke"",""Stephanie Linus""}","{Drama,Romance}",2004-12-01,"{""Goldmark International""}"
33,Arewa ejo,"{""Taofeeq Abisogun""}","{""Lizzy Anjorin"",""Gloria Iwuenon"",""Damola Olatunji"",""Doris Simeon""}",{Drama},2009-02-01,"{""Jewitura Movies""}"
34,We Are One 2,"{""John Uche""}","{""Stella Damasus"",""Justus Esiri"",""Jim Iyke"",""Genevieve Nnaji"",""Doreen Oyesanya""}",{Drama},2004-03-01,"{""Jem Productions""}"
37,Unforseen,"{""Emmanuel Akaemeh""}","{""Ehi Achanya"",""Angela Eguavoen"",""Omolara Idris"",""Mary Lazarus"",""Daniel Lloyd"",""Ik Ogbonna""}",{Drama},2016-09-01,"{""Riyabel Production Service""}"
38,Koi Koi - The Myth,"{""Adekunle Lawal McDouglas""}","{""Lauretta Agbonifo"",""Faith Aimo"",""Yvonne Eddie"",""Keppy Ekpenyong-Bassey"",""Legemah Henry"",""Asuama Inyang"",""Chioma Jennifer"",""Favour Nwankwo"",""Divine Favour Ogbonna"",""Ese Divine Osumah"",""Broda Shaggi""}",{Horror},2022-04-01,"{""Blackbishop Production""}"
39,Blood Battle 2,"{""Ebere Onwu""}","{""Nonso Diobi"",""Justus Esiri"",""Ngozi Ezeonu"",""Chidi Mokeme"",""Maureen Solomon""}",{Action},2005-12-01,"{""Lion Base International""}"
40,Blood Stain in Bokodo 2,"{""Moses Eskor""}","{""Desmond Elliot"",""Justus Esiri"",""Chinelo Ndigwe"",""Effy Okon""}",{Drama},2006-04-01,"{""Samlex Electronics Company""}"
41,Akan,"{""Desmond Elliot""}","{""David Uzoma Aboy"",""Gloria Aju"",""Venita Akpofure"",""Didi Ekanem"",""Alexx Ekubo"",""Emmanuel Etukudo"",""Aniebiet Francis"",""Efiok Henry"",""Grace Johnson"",""Stella Omoarekhe"",""Archie Sam"",""Emem Ufot"",""Ime Bishop Umoh"",""Snow White""}",{Drama},2014-09-01,"{""Denziot Pictures"",""Goldwire Productions""}"
42,Because of Love,"{""Ben Emeh""}","{""Mary Ann Apollo"",""Nnamdi Igweonu"",""Emeka Ike"",""Georgina Onuoha"",""Bob-Manuel Udokwu""}",{Drama},2003-03-01,"{""Eagle Movies""}"
43,Too Much,"{""Daniel Ademinokan""}","{""Seun Akindele"",""Nonso Diobi"",""Ngozi Ezeonu"",""Uche Jombo"",""Ginnefine Kanu"",""Sana Kanu""}",{Drama},2010-06-01,"{""Denziot Studios Production""}"
44,Koroba koroba,"{""Yemi Adegunju""}","{""Gbolagbade Akinpelu"",""Makin Amusan"",""Tunde Bamgbode"",""Femi Fatoba"",""Jide Kosoko"",""Iyabo Odukanmi"",""Ebun Oloyede"",""Feso Oyewole"",""Lere Paimo""}",{Drama},2003-07-01,"{""Wastayo Films""}"
45,Lost Wealth 2,"{""Afam Okereke""}","{""Chiwetalu Agu"",""Emeka Enyiocha"",""Cynthia Okereke"",""Chinwe Owoh""}",{Drama},2006-10-01,"{""Samlex Electronics Company""}"
48,Ticket to Life,"{""Geshin Salvador""}","{""Kubra Emokpaire"",""Tina Mba"",""Sambasa Nzeribe"",""Christian Prince Ochiagha"",""Linda Osifo""}",{Drama},2022-09-01,{Meroestream}
49,Extra Time 2,"{""Ifeanyi Ikpoenyi""}","{""Eucharia Anunobi Ekwu"",""Segun Arinze"",""Enebeli Elebuwa"",""Alex Usifo Omiagbo""}",{Drama},2005-05-01,"{""Kensimon Production""}"
50,Out of My League,"{""Sobe Charles Umeh""}","{""Bimbo Ademoye"",""Scarlet Gomez"",""Ben-Shalom Joshua"",""Chiazo Ogbu"",""Olubayo Solomon""}",{Romance},2020-05-01,"{""Rok Studios""}"
51,The Golden Fish,"{""Emeka Obiakonwa""}","{""Monalisa Chinda"",""Geraldine Ekeocha"",""Vitalis Ndubuisi"",""Saint Obi"",""Kenneth Okonkwo"",""Chinyere Wilfred""}",{Drama},2006-08-01,"{""Dozac Global Maxima Investment""}"
53,No Limitation 2,"{""Kalu Anya"",""Chris Oge-Kalu""}","{""Rita Edochie"",""Sam Loco Efe"",""Clem Ohameze""}",{Drama},2004-12-01,"{""I.G. Best Industries""}"
54,I Need a Husband,"{""Charles Inojie""}","{""Ada Ameh"",""Okey Bakasi"",""Charles Inojie"",""Sam Loco Efe"",""Patience Ozokwor""}",{Comedy},2007-09-01,"{""Louis Merchandise""}"
55,The Corridors of Power 2,"{""MacCollins Chidebe""}","{""Enebeli Elebuwa"",""Justus Esiri"",""Kanayo O. Kanayo"",""Patience Ozokwor""}","{Action,Drama}",2005-10-01,"{""Ossy Affason Production""}"
58,Tsalle Daya,"{""Ali Gumzak""}","{""Jamila Nagudu"",""Ali Nuhu"",""Teema Yola""}",{Drama},2019-10-01,"{""Dan Hajiya Films""}"
59,World of a Prince,"{""Chika Onu""}","{""Nonso Diobi"",""Sam Loco Efe"",""Benita Nzeribe""}",{Drama},2005-01-01,"{""Okwytex Ventures Ltd.""}"
60,Last Confession,"{""Sunday Nnajiude""}","{""Fabian Adibe"",""Chiwetalu Agu"",""Enebeli Elebuwa"",""Rich Oganiru""}",{Comedy},2005-03-01,"{""Edumaco Movies International""}"
62,The Revelation 2,"{""Chike Bryan""}","{""Fred Aresoma"",""Omotola Jalade-Ekeinde"",""Robert Keith"",""Kenneth Okonkwo""}","{Short,Drama}",2007-06-01,"{""Great Favour Production""}"
63,A Night in the Philippines,"{""Zeb Ejiro""}","{""Marie Eboka"",""Desmond Elliot"",""Ibinabo Fiberesima"",""Ufuoma McDermott""}",{Drama},2006-04-01,"{""Angel Light Entertainment"",""Movieland Network Ltd."",""Zeb Ejiro Productions""}"
65,Love Gone Mad,"{""Jerry Isichei""}","{""Gift Obasi"",""Bukky Ogunnote"",""Sandra Okunzuwa"",""Okey Uzoeshi""}",{Drama},2022-11-01,"{""African Movie Channel""}"
66,Take Me Home 2,"{""Emeka Jonathan""}","{""Chiege Alisigwe"",""Desmond Elliot"",""Prince Jeff Ezeanyika"",""Joyce Kalu"",""Gab Liberty"",""Tonia Nwosu"",""Ndidi Obi"",""Mercy Johnson Okojie"",""Henry Opara"",""St. Mikevine I. Paul""}",{Drama},2007-03-01,"{""Akagod Investments""}"
67,Test Your Heart,"{""Emeka Jonathan""}","{""Edith Dibie"",""Pete Edochie"",""Emeka Ike"",""Abraham Nwodo"",""Muna Obiekwe"",""Uche Ogbodo"",""Cynthia Okereke"",""Chiome Onyechi"",""Vincent Opurum""}",{Drama},2008-06-01,"{""Bonag Industries Nigeria""}"
68,Playing Safe,"{""Elvis Chuks""}","{""Ini Edo"",""Ik Ogbonna"",""Tonto Charity Dikeh"",""Chris Okagbue""}",{Drama},2013-03-01,"{""Diamond Groove pictures""}"
72,Old Testament,"{""Nonso Emekaekwue""}","{""Uche Elendu"",""Olu Jacobs"",""Mac Maurice Ndubueze"",""Vitalis Ndubuisi"",""Ndidi Obi"",""Patience Ozokwor"",""Chikezie Uwazie""}",{Drama},2007-10-01,"{""Be Good Ventures"",""Mac Modesty International""}"
73,Baby Girl 2,"{""Tarila Thompson""}","{""Pete Edochie"",""Enebeli Elebuwa"",""Richard Mofe-Damijo"",""Abbey Plaatjes"",""Maureen Solomon""}",{Drama},2005-05-01,"{""Elonel International Ltd.""}"
76,Separate Lives 2,"{""Kabat Esosa Egbon""}","{""Bimbo Akintola"",""Enebeli Elebuwa"",""Uche Iwuji"",""Ramsey Nouah"",""Muna Obiekwe"",""Oge Okoye""}",{Drama},2004-02-01,"{""Kas-Vid International""}"
82,One Life,"{""Tchidi Chikere""}","{""Tchidi Chikere"",""Link Edochie"",""Desmond Elliot"",""Kate Henshaw-Nuttal"",""Ebube Nwagbo"",""Emeka Ossai""}",{Drama},2007-11-01,"{""O. Gabby Innovations""}"
83,Holy City 2,"{""Ilochi Olisaemeka""}","{""Emeka Amakeze"",""Mike Ezuruonye"",""Jim Iyke"",""Oge Okoye""}",{Drama},2008-12-01,"{""Social Movies""}"
87,Help Me Out,"{""Chika Onu""}","{""Sam Loco Efe"",""Obi Madubogwu"",""Patience Ozokwor"",""Maureen Solomon""}",{Drama},2007-03-01,"{""Andy Best Electronics""}"
92,Asiko mi leyi,"{""Micheal Oladele""}","{""Funso Adeolu"",""Fathia Balogun""}",{Drama},2007-07-01,"{""Corporate Pictures""}"
94,Read My Body,"{""Theo-Ziny Joel""}","{Brabisco,""Nobweseh Samuel Cleopas"",""Fountain Gabriel"",""Joseph Inaku"",""Manasseh Samuel""}","{Short,Drama}",2022-11-01,{Zinifrica}
96,Recession Blues,"{""Kabat Esosa Egbon""}","{""Uduak Akrah"",""Stephen Alajemba"",""Shirleyann Ede"",""Mercy Johnson Okojie""}",{Drama},2018-09-01,"{""Little Brothers Global Entertainment""}"
101,Strange Love 2,"{""Theodore Anyanji""}","{""Chioma Chukwuka Akpotha"",""Desmond Elliot"",""Jim Lawson"",""Ashley Nwosu"",""Clem Ohameze""}",{Drama},2006-07-01,"{""Guniks Investment""}"
103,Feel My Pain 2,"{""Afam Okereke""}","{""Mike Ezuruonye"",""Uche Jombo"",""Leo Mezie"",""Amaechi Muonagor""}",{Drama},2008-10-01,"{""Magic Movies Production""}"
105,My Promise 2,"{""Moses Ebere""}","{""Zulu Adigwe"",""Chiege Alisigwe"",""Chidi Ihesie"",""Mary Mukolu"",""Susan Obi"",""Ebere Obidike"",""Kenneth Okonkwo""}",{Drama},2006-12-01,"{""Somaco Ind.""}"
106,One God One Nation 2,"{""Reginald Ebere""}","{""Ini Edo"",""Justus Esiri"",""Chika Ike"",""Olu Jacobs"",""Clem Ohameze"",""Ebele Okaro-Onyiuke"",""Tony Umez""}",{Drama},2005-08-01,"{""P. Collins Productions""}"
110,Becoming Mrs. Eze,"{""Paul Iheanyichukwu Igwe""}","{""Frankincense Eche-Ben"",""Ego Nwosu"",""Maryjane Ogu"",""Mofe Okorodudu"",""Florence Sunday""}",{Drama},2022-11-01,"{""African Movie Channel""}"
111,Mustapha,"{""Dimeji Ajibola""}","{""Chiege Alisigwe"",""Chinonso Arubayi"",""Chelsea Eze"",""Godwin Nnadiekwe"",""Ifeoma Obinwa"",""Jazzy Okey"",""Obi Okoli"",""Tochukwu Simon"",""Bestman Thompson"",""Chinenye Ulaegbu"",""Uzee Usman""}",{Drama},2019-10-01,"{""Mela Movies"",""Rok Studios""}"
