movie_title,release_year,duration,genres,director_names,actor_1_name,num_votes,content_rating
The Black Book,2023,124,Thriller,Editi Effiong,N/A,905,5.1
SHE Must Be Obeyed,2023– ,N/A,Comedy,Funke Akindele,N/A,89,6.1
After Party,2021,N/A,Comedy,Tope Alake,N/A,84,7.2
Ijogbon,2023,115,Drama,Kunle Afolayan,N/A,74,5.6
Something Like Gold,2023,N/A,Drama,Kayode Kasum,N/A,19,9.4
Mami Wata,2023,107,Drama,C.J. 'Fiery' Obasi,N/A,87,7.1
A Weekend to Forget,2023,N/A,Drama,Damola Ademola,N/A,10,8.0
Big Love,2023,N/A,Romance,Biodun Stephen,N/A,17,8.9
The Real Housewives of Lagos,2022– ,N/A,Reality-TV,Iyabo Ojo,N/A,34,6.1
Don't Leave Me,2022,120,Drama,Andy Amenechi,N/A,10,6.7
"Love, Lust & Other Things",2023,N/A,Drama,Kayode Kasum,N/A,13,9.0
Gangs of Lagos,2023,124,Crime,Jadesola Osiberu,N/A,"2,732",6.7
Késárí the King,2023,N/A,Action,Tope Adebayo,N/A,53,9.2
Orisa,2023,N/A,Drama,Odunlade Adekola,N/A,33,9.4
Jagun Jagun (The Warrior),2023,133,Drama,Tope Adebayo,N/A,697,3.7
All the Colours of the World Are Between Black and White,2023,93,Drama,Babatunde Apalowo,N/A,98,6.8
'76,2016,118,Drama,Izu Ojukwu,N/A,271,5.5
Ijakumo: The Born Again Stripper,2022,117,Drama,Adebayo Tijani,N/A,89,6.3
Better Half,II 2023,110,Drama,Richard Nwosu,N/A,9,8.6
Living in Bondage: Breaking Free,2019,150,Drama,Ramsey Nouah,N/A,160,5.1
Things Fall Apart,1971,90,Drama,Hans Jürgen Pohland,N/A,56,7.8
Lionheart,2018,95,Comedy,Genevieve Nnaji,N/A,"1,526",5.7
The Kujus Again,2023,N/A,Drama,Biodun Stephen,N/A,25,9.2
Flat Share,2023,N/A,Drama,Kehinde Olorunyomi,N/A,N/A,N/A
Arodan,2023,N/A,Drama,Segun Ogungbe,N/A,N/A,N/A
Sistá,2022,94,Drama,Biodun Stephen,N/A,115,7.7
Head Over Bills,2022,N/A,Comedy,Dabby Chimere,N/A,31,8.7
The Last Knight 2,2005 Video,N/A,Drama,Henry Udeze,N/A,N/A,N/A
L'écuyer du roi,2022,96,Adventure,Biyi Bandele,N/A,435,4.4
Merry Men 2,2019,115,Action,Moses Inwang,N/A,83,6.6
October 1,2014,148,Crime,Kunle Afolayan,N/A,509,6.4
Smokescreen,2023,N/A,Drama,Biodun Stephen,N/A,N/A,N/A
Honey Money,2023,N/A,Drama,Ekene Som Mekwunye,N/A,9,6.7
Lost in the Act,2023,115,Drama,Mmasi O'Lord,N/A,N/A,N/A
All Things Fair,2022,N/A,Drama,Austin Nwaolie,N/A,N/A,N/A
Mannerless,2023,92,Drama,Richard Nwosu,N/A,5,9.0
Baby Police,2003 Video,82,Comedy,Amayo Uzo Philips,N/A,45,8.5
Black November,2012,95,Action,Jeta Amata,N/A,693,5.4
Òlòtūré,2019,106,Crime,Kenneth Gyang,N/A,869,5.6
Hey You!,I 2022,104,Romance,Uyoyou Adia,N/A,130,4.6
The Wedding Party,II 2016,110,Comedy,Kemi Adetiba,N/A,660,5.9
Badcop,2023,120,Action,Abbey Abimbola,N/A,44,3.0
Aki and Pawpaw,2021,133,Comedy,Biodun Stephen,N/A,48,6.9
The House of Secrets,2023,119,Drama,Niyi Akinmolayan,N/A,59,5.2
A Pierced Heart,2022,N/A,Drama,Nonso Emekaekwue,N/A,N/A,N/A
Amina,2021,105,Action,Izu Ojukwu,N/A,451,4.0
Battle on Buka Street,2022,141,Comedy,Funke Akindele,N/A,200,5.4
The Johnsons,2012– ,30,Comedy,Charles Inojie,N/A,16,7.4
The Set Up,2019,103,Crime,Niyi Akinmolayan,N/A,156,4.3
Half of a Yellow Sun,2013,111,Drama,Biyi Bandele,N/A,"2,106",6.1
