Year,Title,Director,Cast,Genre
1992,Living in Bondage 1,Chris Obi Rapu,Kanayo O. Kanayo Kenneth Okonkwo Okechukwu Ogunjiofor Nnenna Nwabueze,Drama / thriller
1992,Agba Man,Moses Olaiya,Moses Olaiya Shola Shoremekun Bankole Ayodeji Aduke George,
1993,Circle of Doom,Chris Obi Rapu,Francis Agu Sandra Damascus Okechukwu Ogunjiofor Kanayo O. Kanayo,
1993,Evil Passion,Chris Obi Rapu,Ngozi Nwosu Chizoba Bosah Nnenna Nwabueze Tochukwu Anadi,
1993,Maradona (Babangida Must Go),Gbenga Adewusi,Gbenga Adewusi Baba Suwe Pa Kusumu Lukuluku,
1993,Living in Bondage 2,Christian Onu,Kenneth Okonkwo Okechukwu Ogunjiofor Nnenna Nwabueze Rita Nzelu,
1993,Ti Oluwa Ni Ile,Tunde Kelani,Kareem Adepoju Dele Odule Lekan Oladapo Yemi Shodimu Yetunde Ogunsola Oyin Adejobi,
1993,Yemi my Lover,Niyi Love,Tajudeen Oyewole Yemi Ayebo Iyabo Momoh Iya Rainbow Dejo Tunfulu,Drama
1994,Ayo Ni Mo Fe,Tunde Kelani,Yomi Ogunmola Bola Obot Yinka Oyedijo Kareem Adepoju Lere Paimo,Drama
1994,Glamour Girls,Chika Onukwufor,Eucharia Anunobi Zack Orji Liz Benson Dolly Unachukwu Gloria Alozie,Drama
1994,Lagos Na Wah!!: Pidgin Comedy 1-3,Kehinde Soaga,James Iroha Sunday Omobolanle Kayode Odumosu Jide Kosoko,Comedy
1994,"Nneka, the Pretty Serpent 1 and 2",Zeb Ejiro Bolaji Dawodu,Ndidi Obi Okechukwu Ogunjiofor Rita Nzelu Kanayo O. Kanayo,
1995,Ami Orun,Tunde Alabi-Hundeyin,Peju Ogunmola Sola Fosudo Clarion Chukwura Idowu Philips,
1995,Dark Goddess,Andy Amenechi,Regina Askia Layi Ashadele Yinka Craig Enebeli Elebuwa,
1995,Deadly Affair: A True Life Story,Chico Ejiro,Dolly Unachukwu Sam Loco,
1995,Fatal Desire: A True Life Story,Zeb Ejiro,Sydney Diala,
1995,Ikuku( Hurricane) 1,Nkem Owoh Zeb Ejiro,Nkem Owoh Pete Edochie Zach Orji Sam Loco,
1995,Koseegbe,Tunde Kelani,Wole Amele Toyin Babatope Faith Eboigbe Jide Kosoko,
1995,Owo Blow,Tade Ogidan,Adewale Elesho Taiwo Hassan Rachel Oniga Bimbo Akintola Femi Adebayo Yinka Quadri Binta Ayo Mogaji Sam Loco Efe,
1995,Rattlesnake,Amaka Igwe,Francis Duru Nkem Owoh Anne Njemanze Bob Manuel Julius Agwu Ernest Obi Tony One week Stella Damasus Genevieve Nnaji Chris Okotie,Crime thriller
1995,True Confession,Kenneth Nnebue,Zack Orji Liz Benson Sola Fosudo Jennifer Ossai,Drama / thriller
1996,Battle of Musanga,Bolaji Dawodu,Alex Usifo Chika Anyawu Chiwetalu Agu Eucharia Anunobi Emeka Ani,
1996,Brotherhood of Darkness,Andy Amenechi Bond Emeruwa,Patrick Doyle Zachee Orji Okechukwu Ogunjiofor Dolly Unachukwu,
1996,Compromise,Chika Onukwafor,Ifeanyi Azodo Bob-Manuel Udokwu Kate Henshaw Teco Benson,
1996,Dead End 1,Chico Ejiro,Zack Orji Liz Benson Sandra Achums Ameze Imariahgbe,
1996,Domitilla,Zeb Ejiro,Sandra Achums Enebeli Elebuwa Maureen Ihua Charles Okafor Ada Ameh Kate Henshaw Basorge Tariah Jr Anne Njemanze,Romance
1996,Flesh and Blood: The Jessie Chukwuma Story 1,Chico Ejiro,Ameze Imarhiagbe Richard Mofe-Damijo Bassey-Inyang Ekpeyong Christy Essien Igbokwe,
1996,Glamour Girls 2: The Italian Connection,Chika Onukwafo,Clarion Chukwuru-Abiola Jennifer Okereke Zack Orji Eucharia Anunobi,
1996,Hostages,Tade Ogidan,Tunji Sotimirin Bimbo Manuel Udokwu Zainab Bukky Ajayi Tope Idowu Lanre Balogun Richard Mofe Damijo,
1996,Ikuku( Hurricane) 2,Nkem Owoh Zeb Ejiro,Nkem Owoh Pete Edochie Zach Orji Sam Loco,
1996,Karishika,Ifeanyi Ikpoenyi,Bob Manuel Udokwu Becky Okorie Sandra Achums Obi Mmadubugo Amaechi Muonagor Sunny Mc-Don Adaora Ukoh Ifeanyi Ikpoenyi Andy Chukwu Steve Eboh,
1996,Lies of Destiny,Madu Chikwendu,Franca Brown Paul Obazele Joe Nwosu Jennifer Okere,
1996,Mortal Inheritance,Andy Amenechi,Fred Amata Omotola Jalade Ekeinde Kunle Bamtefa,Romantic Drama
1996,Silent Night,Chico Ejiro,Ramsey Nouah Segun Arinze,
1996,Violated,Amaka Igwe,Richard Mofe Damijo Ego Boyo Kunle Bamtefa Joke Silva Mildred Iweka Taiwo Obileye Wale Macaulay Funlola Aofiyebi-Raimi,Romantic Drama
1997,Out of Bounds,Tade Ogidan,Richard Mofe Damijo Bimbo Akintola Rachael Oniga Steve Rhodes,
1997,Obe Gbona (Hot Soup),,Moses Olaiya Adejumo Iya Sala Adisa Baba Oyin Adejobi,
1997,"Iya Ibeji Eleran Igbe (Mother of Twins, Seller of Bush Meat)",Abbey Lanre,Aduke Adeyemo Gbolagade Akinpelu Dupe Johnson Florence Ogunbiyi,
1997,Hostages,Tade Ogidan,Tope Idowu Ofuafo Otomewo Richard Mofe Damijo Bimbo Manuel Lanre Slogan Tunji Sotimirin Buky Ajayi,Action
1997,Forever,Amaka Igwe,Justus Esiri Hilda Dokubo John Nwaobi Ohi Alegbe Jaiye Aboderin,
1997,Flesh and Blood: The Jessie Chukwuma Story 2,Chico Ejiro,Ameze Imarhiagbe Richard Mofe-Damijo Bassey-Inyang Ekpeyong Christy Essien Igbokwe,
1997,Died Wretched,Kenneth Nnebue,Tony Umez Eucharia Anunobi Rachel Oniga Tom Njemaze,
